Geneid	JH01_A01	JH01_A02	JH01_A03	JH01_A04	JH01_A05	JH01_A06	JH02_A01	JH02_A02	JH02_A03	JH02_A04	JH02_A05	JH02_A06	JH01_B01	JH01_B02	JH01_B03	JH01_B04	JH01_B05	JH01_B06	JH02_B01	JH02_B02	JH02_B03	JH02_B04	JH02_B05	JH02_B06	JH01_C01	JH01_C02	JH01_C03	JH01_C04	JH01_C05	JH01_C06	JH02_C01	JH02_C02	JH02_C03	JH02_C04	JH02_C05	JH02_C06
AS_IGR:(CDS,b0007,yaaJ,putative_transporter,cds6,-,1430/CDS,b0008,talB,transaldolase_B,cds7,+,953):+:237:NC_000913.3	14	11	35	71	42	98	64	86	290	114	41	33	42	18	70	48	106	84	53	28	163	41	31	48	21	33	135	26	42	113	76	30	18	46	31	25
CDS:b0008:talB:transaldolase_B:cds7:+:953:NC_000913.3	11390	14332	19235	22024	7593	12524	16371	50330	42915	35451	20794	19920	15748	14230	18746	12033	16040	10511	16383	36069	33015	22756	8277	14559	9512	17603	35966	5037	5813	11233	15088	12542	13206	15897	11695	12835
AS_CDS:b0008:talB:transaldolase_B:cds7:+:953:NC_000913.3	84	34	69	32	20	71	139	155	164	36	62	54	94	26	62	50	71	48	100	93	110	32	51	53	39	25	46	26	47	109	86	16	26	80	34	31
IGR:(CDS,b0008,talB,transaldolase_B,cds7,+,953/CDS,b0009,mog,molybdochelatase_incorporating_molybdenum_into_molybdopterin,cds8,+,587):+:63:NC_000913.3	650	617	899	1269	656	833	756	3068	2414	1992	1425	1173	904	837	1160	738	1082	775	1077	1633	1657	1241	502	910	562	883	1985	322	426	776	913	705	844	1019	650	742
AS_IGR:(CDS,b0008,talB,transaldolase_B,cds7,+,953/CDS,b0009,mog,molybdochelatase_incorporating_molybdenum_into_molybdopterin,cds8,+,587):+:63:NC_000913.3	6	4	21	6	3	13	26	44	32	12	12	19	19	3	7	6	6	6	13	18	22	5	8	7	13	17	11	10	6	21	6	5	8	13	13	9
CDS:b0009:mog:molybdochelatase_incorporating_molybdenum_into_molybdopterin:cds8:+:587:NC_000913.3	1176	1056	1146	919	484	743	1611	3551	3287	1694	1212	1011	1664	703	1192	700	1013	675	1888	2083	2218	1428	473	1014	939	1123	1920	312	409	815	1662	833	715	1049	770	983
AS_CDS:b0009:mog:molybdochelatase_incorporating_molybdenum_into_molybdopterin:cds8:+:587:NC_000913.3	72	11	24	13	14	29	92	51	63	26	12	37	110	7	12	24	24	22	96	22	25	18	6	16	24	55	51	11	14	46	115	11	25	37	8	28
CDS:b0010:satP:succinate-acetate_transporter:cds9:-:566:NC_000913.3	546	138	189	180	186	317	773	357	481	261	168	233	915	90	169	177	244	224	924	262	285	168	86	126	202	169	607	141	133	344	1178	91	168	218	137	195
AS_CDS:b0010:satP:succinate-acetate_transporter:cds9:-:566:NC_000913.3	361	282	498	266	150	251	580	982	998	592	338	331	585	209	381	275	307	243	632	593	740	450	174	276	366	337	624	134	140	257	552	230	273	354	254	286
IGR:(CDS,b0010,satP,succinate-acetate_transporter,cds9,-,566/CDS,b0011,yaaW,UPF0174_family_protein,cds10,-,713):+:97:NC_000913.3	20	9	9	9	4	4	24	18	26	9	5	5	39	7	11	4	5	4	32	19	11	6	5	4	11	24	5	7	1	7	23	8	2	6	2	5
AS_IGR:(CDS,b0010,satP,succinate-acetate_transporter,cds9,-,566/CDS,b0011,yaaW,UPF0174_family_protein,cds10,-,713):+:97:NC_000913.3	11	1	2	1	0	4	14	6	2	4	6	1	16	3	1	2	4	2	16	5	2	2	1	1	1	6	7	0	7	13	20	0	8	1	1	4
CDS:b0011:yaaW:UPF0174_family_protein:cds10:-:713:NC_000913.3	39	13	45	55	50	80	57	114	103	73	80	52	69	32	58	59	75	111	50	48	80	62	23	55	25	23	78	34	48	141	56	36	39	66	58	53
AS_CDS:b0011:yaaW:UPF0174_family_protein:cds10:-:713:NC_000913.3	48	14	39	28	17	31	61	44	50	19	27	22	77	14	32	18	37	25	88	54	38	14	6	11	14	37	33	8	1	44	28	23	11	30	15	22
CDS:b0013:yaaI:UPF0412_family_protein:cds11:-:404:NC_000913.3	14	6	9	8	5	12	28	36	38	26	7	15	29	5	12	9	23	22	29	9	29	15	3	6	13	4	67	6	8	8	27	9	15	6	4	4
AS_CDS:b0013:yaaI:UPF0412_family_protein:cds11:-:404:NC_000913.3	45	11	29	49	29	79	20	96	65	43	33	33	51	7	16	29	42	40	42	32	45	39	6	12	22	18	36	27	14	50	58	12	28	79	24	13
IGR:(CDS,b0013,yaaI,UPF0412_family_protein,cds11,-,404/CDS,b0014,dnaK,chaperone_Hsp70%2C_with_co-chaperone_DnaJ,cds12,+,1916):+:335:NC_000913.3	498	120	469	863	158	170	647	1550	186	1094	398	422	607	163	1107	505	261	197	562	429	177	671	205	228	475	243	870	160	106	344	564	234	522	723	260	225
AS_IGR:(CDS,b0013,yaaI,UPF0412_family_protein,cds11,-,404/CDS,b0014,dnaK,chaperone_Hsp70%2C_with_co-chaperone_DnaJ,cds12,+,1916):+:335:NC_000913.3	34	24	26	21	25	41	46	73	64	39	25	53	53	6	16	44	33	34	34	28	43	31	8	32	22	26	53	10	31	37	54	17	36	14	29	24
CDS:b0014:dnaK:chaperone_Hsp70%2C_with_co-chaperone_DnaJ:cds12:+:1916:NC_000913.3	15927	4066	15635	39813	5629	9365	19971	39839	7730	40001	17630	15109	25029	7424	50928	30186	14536	7996	22117	22066	9318	32471	11339	14560	12999	7518	28012	5710	2969	9738	17326	13532	20702	29157	9664	9167
AS_CDS:b0014:dnaK:chaperone_Hsp70%2C_with_co-chaperone_DnaJ:cds12:+:1916:NC_000913.3	44	14	14	7	60	83	59	98	84	55	26	73	71	16	7	41	45	40	116	77	71	19	13	26	47	29	95	31	31	77	90	30	19	36	32	51
IGR:(CDS,b0014,dnaK,chaperone_Hsp70%2C_with_co-chaperone_DnaJ,cds12,+,1916/CDS,b0015,dnaJ,chaperone_Hsp40%2C_DnaK_co-chaperone,cds13,+,1130):+:37:NC_000913.3	390	85	345	1030	213	300	428	903	199	1095	498	305	849	212	1657	961	395	227	765	495	215	931	301	433	335	208	749	148	78	316	529	443	672	988	288	209
AS_IGR:(CDS,b0014,dnaK,chaperone_Hsp70%2C_with_co-chaperone_DnaJ,cds12,+,1916/CDS,b0015,dnaJ,chaperone_Hsp40%2C_DnaK_co-chaperone,cds13,+,1130):+:37:NC_000913.3	2	3	1	0	4	11	3	4	8	1	1	3	2	1	0	3	6	7	9	5	5	1	0	1	0	2	6	1	4	11	7	0	1	3	4	1
CDS:b0015:dnaJ:chaperone_Hsp40%2C_DnaK_co-chaperone:cds13:+:1130:NC_000913.3	3079	745	2004	3468	1076	2047	3859	3851	1282	3488	2172	2352	4661	1150	4519	3635	2503	1464	3968	2436	1178	2917	1466	1807	1845	1529	3733	1027	845	2309	3184	1866	2324	4475	1648	1690
AS_CDS:b0015:dnaJ:chaperone_Hsp40%2C_DnaK_co-chaperone:cds13:+:1130:NC_000913.3	11	15	6	6	14	47	14	21	23	5	6	10	14	3	0	16	23	40	26	11	15	4	2	3	0	5	29	5	25	52	24	0	7	3	4	6
IGR:(CDS,b0015,dnaJ,chaperone_Hsp40%2C_DnaK_co-chaperone,cds13,+,1130/mobile_genetic_element,-,-,-,id2,+,1344):+:57:NC_000913.3	243	49	158	259	86	165	347	264	111	255	158	212	335	81	266	230	215	118	308	154	83	168	102	114	135	109	257	97	89	188	236	138	166	298	163	158
AS_IGR:(CDS,b0015,dnaJ,chaperone_Hsp40%2C_DnaK_co-chaperone,cds13,+,1130/mobile_genetic_element,-,-,-,id2,+,1344):+:57:NC_000913.3	1	0	0	0	1	0	1	3	1	2	1	3	0	1	0	0	0	1	0	3	0	0	0	1	0	1	1	1	0	2	0	0	1	0	0	0
mobile_genetic_element:-:-:-:id2:+:1344:NC_000913.3	863	331	445	600	282	469	1118	1171	780	798	525	522	1184	361	736	547	670	411	1027	935	641	475	247	355	892	563	1211	261	278	635	931	541	440	753	415	372
AS_mobile_genetic_element:-:-:-:id2:+:1344:NC_000913.3	77	54	62	61	62	107	148	267	325	165	133	169	117	34	67	72	141	89	142	110	190	92	66	151	60	67	167	33	53	125	121	26	64	98	88	103
CDS:b0016:insL1:IS186_transposase:cds14:+:1112:NC_000913.3	690	280	359	462	223	381	884	953	645	644	426	387	938	299	572	431	520	328	807	778	532	372	180	263	765	462	996	207	228	503	746	426	351	579	330	286
AS_CDS:b0016:insL1:IS186_transposase:cds14:+:1112:NC_000913.3	65	35	40	37	43	76	115	197	224	116	85	95	96	24	37	51	92	56	116	74	119	57	39	70	45	56	111	25	42	81	105	15	50	58	54	64
IGR:(CDS,b0016,insL1,IS186_transposase,cds14,+,1112/CDS,b4412,hokC,toxic_membrane_protein%2C_small,cds16,-,152):+:132:NC_000913.3	92	29	36	53	28	32	118	122	104	68	50	55	112	29	57	30	62	34	108	82	72	42	30	50	75	60	120	19	24	62	102	71	42	59	37	38
AS_IGR:(CDS,b0016,insL1,IS186_transposase,cds14,+,1112/CDS,b4412,hokC,toxic_membrane_protein%2C_small,cds16,-,152):+:132:NC_000913.3	10	17	19	21	16	27	30	60	89	41	41	62	18	8	25	19	43	29	22	30	63	31	23	70	13	9	49	6	9	37	14	10	13	35	30	34
CDS:b4412:hokC:toxic_membrane_protein%2C_small:cds16:-:152:NC_000913.3	31	63	107	71	72	125	71	258	289	182	229	291	61	31	117	70	204	167	91	133	195	146	108	245	62	47	182	23	51	166	64	28	55	146	113	144
AS_CDS:b4412:hokC:toxic_membrane_protein%2C_small:cds16:-:152:NC_000913.3	103	35	23	25	17	14	151	132	46	29	34	28	164	23	49	11	23	15	174	72	15	12	18	15	58	27	49	9	12	32	121	48	20	40	20	15
CDS:b0018:mokC:regulatory_protein_for_HokC%2C_overlaps_CDS_of_hokC:cds15:-:209:NC_000913.3	44	85	145	99	100	168	92	360	380	252	321	392	81	41	154	95	275	227	122	180	254	195	141	321	84	62	253	33	68	227	89	40	82	204	156	194
AS_CDS:b0018:mokC:regulatory_protein_for_HokC%2C_overlaps_CDS_of_hokC:cds15:-:209:NC_000913.3	146	51	45	52	44	65	205	221	118	78	96	108	241	45	77	35	82	52	255	106	52	31	48	54	81	51	146	33	50	99	175	71	65	98	63	46
ncRNA:b4413,ID:sokC:sRNA_antisense_regulator_blocking_mokC%2C_and_hence_hokC%2C_translation:id3:+:54:NC_000913.3	82	34	49	63	67	130	99	170	160	123	148	177	136	44	57	55	144	99	140	61	86	44	65	95	35	51	229	56	91	165	99	49	103	132	93	70
AS_ncRNA:b4413,ID:sokC:sRNA_antisense_regulator_blocking_mokC%2C_and_hence_hokC%2C_translation:id3:+:54:NC_000913.3	11	20	32	26	26	41	18	96	83	65	87	92	18	10	33	23	63	52	28	44	54	45	30	70	20	13	68	12	15	59	24	12	24	53	41	47
IGR:(ncRNA,b4413,ID,sokC,sRNA_antisense_regulator_blocking_mokC%2C_and_hence_hokC%2C_translation,id3,+,54/CDS,b0019,nhaA,sodium-proton_antiporter,cds17,+,1166):+:461:NC_000913.3	488	248	339	397	506	1056	552	881	1014	855	880	985	691	231	334	408	1034	918	684	348	576	309	393	655	190	309	1605	420	663	1329	636	282	622	759	509	485
AS_IGR:(ncRNA,b4413,ID,sokC,sRNA_antisense_regulator_blocking_mokC%2C_and_hence_hokC%2C_translation,id3,+,54/CDS,b0019,nhaA,sodium-proton_antiporter,cds17,+,1166):+:461:NC_000913.3	39	39	60	62	57	88	80	204	170	126	147	154	94	25	57	46	113	95	118	62	126	69	53	127	50	37	157	30	42	173	102	18	58	123	72	90
CDS:b0019:nhaA:sodium-proton_antiporter:cds17:+:1166:NC_000913.3	1810	666	1060	1432	1834	4610	2740	2665	3115	2350	1579	1493	2764	743	1233	2070	5144	5025	3398	1568	2615	1394	879	1376	897	1348	3245	1157	1957	6154	3092	820	903	1446	930	925
AS_CDS:b0019:nhaA:sodium-proton_antiporter:cds17:+:1166:NC_000913.3	54	35	51	37	28	41	77	104	115	58	45	62	69	15	24	19	61	30	85	21	73	22	21	32	48	35	94	4	17	58	67	10	20	97	43	34
IGR:(CDS,b0019,nhaA,sodium-proton_antiporter,cds17,+,1166/CDS,b0020,nhaR,transcriptional_activator_of_nhaA,cds18,+,905):+:8:NC_000913.3	33	13	21	27	37	88	46	60	63	42	37	33	51	15	18	31	76	84	64	23	37	27	10	23	21	23	51	18	34	99	67	15	16	27	19	15
AS_IGR:(CDS,b0019,nhaA,sodium-proton_antiporter,cds17,+,1166/CDS,b0020,nhaR,transcriptional_activator_of_nhaA,cds18,+,905):+:8:NC_000913.3	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CDS:b0020:nhaR:transcriptional_activator_of_nhaA:cds18:+:905:NC_000913.3	1027	404	640	711	763	2110	1404	1764	1825	1038	763	796	1435	389	597	876	1832	1552	1629	1027	1011	656	341	502	511	701	1759	433	821	2095	1443	397	386	774	413	494
AS_CDS:b0020:nhaR:transcriptional_activator_of_nhaA:cds18:+:905:NC_000913.3	102	91	166	105	73	105	103	313	488	268	279	278	112	51	109	89	184	112	169	92	249	102	113	139	87	85	198	82	136	184	131	24	44	191	116	216
IGR:(CDS,b0020,nhaR,transcriptional_activator_of_nhaA,cds18,+,905/mobile_genetic_element,-,-,-,id4,-,767):+:144:NC_000913.3	125	54	59	84	61	211	229	295	240	134	93	96	219	45	92	109	186	126	255	163	93	77	30	41	77	104	229	33	77	178	172	59	40	98	45	82
AS_IGR:(CDS,b0020,nhaR,transcriptional_activator_of_nhaA,cds18,+,905/mobile_genetic_element,-,-,-,id4,-,767):+:144:NC_000913.3	32	3	14	5	5	17	11	19	36	12	14	24	15	7	8	4	9	11	12	4	10	2	7	4	3	9	25	11	18	11	12	5	1	13	11	8
CDS:b0021:insB1:IS1_transposase_B:cds19:-:503:NC_000913.3	45	13	15	13	6	18	61	46	57	22	16	32	64	17	13	16	16	7	65	30	29	6	15	13	16	23	34	11	6	13	46	10	8	16	11	12
AS_CDS:b0021:insB1:IS1_transposase_B:cds19:-:503:NC_000913.3	245	143	185	207	117	283	382	512	465	308	260	360	395	117	167	160	303	193	442	313	286	158	124	197	156	244	692	119	190	355	340	144	198	335	198	250
mobile_genetic_element:-:-:-:id4:-:767:NC_000913.3	198	80	88	86	28	53	257	223	317	109	76	103	324	66	66	42	74	35	309	117	144	49	39	55	71	143	305	26	36	87	247	54	96	91	46	75
AS_mobile_genetic_element:-:-:-:id4:-:767:NC_000913.3	274	156	193	215	125	283	416	549	515	329	273	375	438	126	177	166	310	194	483	331	321	169	132	208	164	261	745	125	194	366	364	152	226	355	209	266
CDS:b0022:insA:IS1_repressor_TnpA:cds20:-:275:NC_000913.3	131	56	71	66	18	33	167	151	226	75	58	66	222	41	47	25	49	23	209	78	104	35	25	43	43	95	216	13	27	66	158	41	67	64	33	56
AS_CDS:b0022:insA:IS1_repressor_TnpA:cds20:-:275:NC_000913.3	43	21	17	18	11	16	57	60	72	32	20	23	74	16	18	14	21	12	64	30	49	19	12	15	16	30	80	8	10	25	43	14	32	29	16	25
IGR:(CDS,b0022,insA,IS1_repressor_TnpA,cds20,-,275/CDS,b0023,rpsT,30S_ribosomal_subunit_protein_S20,cds21,-,263):+:255:NC_000913.3	60	23	24	16	10	21	95	87	84	24	33	23	309	34	22	13	17	13	218	97	56	14	2	17	90	88	80	5	8	33	202	50	32	56	20	26
AS_IGR:(CDS,b0022,insA,IS1_repressor_TnpA,cds20,-,275/CDS,b0023,rpsT,30S_ribosomal_subunit_protein_S20,cds21,-,263):+:255:NC_000913.3	2303	670	587	373	176	400	3137	2313	2383	690	481	331	6121	715	495	175	188	184	4600	2043	1149	272	48	96	1850	1655	1892	140	135	258	4336	1122	627	696	210	200
CDS:b0023:rpsT:30S_ribosomal_subunit_protein_S20:cds21:-:263:NC_000913.3	34341	10249	8592	5016	2105	5794	48497	32685	31184	8879	6511	3719	85465	10526	8299	2250	2382	2626	73332	29701	16133	3730	715	1298	24673	23258	22561	1641	1973	3082	56177	15835	6756	8411	2584	1844
AS_CDS:b0023:rpsT:30S_ribosomal_subunit_protein_S20:cds21:-:263:NC_000913.3	298	124	96	55	37	91	417	358	303	93	70	55	1120	135	112	49	110	110	919	415	231	65	22	47	340	390	387	25	44	133	800	191	111	165	65	59
IGR:(CDS,b0023,rpsT,30S_ribosomal_subunit_protein_S20,cds21,-,263/CDS,b0024,yaaY,uncharacterized_protein,cds22,+,218):+:61:NC_000913.3	29	12	8	15	12	44	19	38	50	22	14	15	27	2	9	16	51	50	33	13	17	15	4	13	12	25	48	5	20	50	27	8	16	15	14	11
AS_IGR:(CDS,b0023,rpsT,30S_ribosomal_subunit_protein_S20,cds21,-,263/CDS,b0024,yaaY,uncharacterized_protein,cds22,+,218):+:61:NC_000913.3	4000	1445	1048	663	293	651	5714	4164	3732	1153	852	441	9060	1224	1036	276	343	380	8445	3406	1950	452	137	228	2174	2620	3195	208	306	367	5335	1574	909	942	286	269
CDS:b0024:yaaY:uncharacterized_protein:cds22:+:218:NC_000913.3	65	34	62	73	48	140	107	151	253	95	79	78	111	23	52	94	178	161	88	99	123	69	29	54	55	70	196	67	70	264	84	51	52	104	67	67
AS_CDS:b0024:yaaY:uncharacterized_protein:cds22:+:218:NC_000913.3	2075	988	654	468	230	414	3083	2658	2275	811	527	290	4409	681	586	176	245	268	3987	1757	1096	271	126	188	962	1398	2551	152	242	273	2768	808	720	595	199	198
CDS:b0025:ribF:bifunctional_riboflavin_kinase/FAD_synthetase:cds23:+:941:NC_000913.3	1721	1131	1626	1614	696	1636	2606	4576	3323	2188	1811	1707	2403	1057	1436	1477	1354	1136	2414	2861	2388	1955	553	1046	1182	1777	3798	595	695	1294	1874	931	1430	1999	1345	1184
AS_CDS:b0025:ribF:bifunctional_riboflavin_kinase/FAD_synthetase:cds23:+:941:NC_000913.3	1	0	5	1	8	22	16	21	31	23	15	15	24	4	5	2	32	17	22	10	25	6	16	12	18	16	17	4	11	31	11	5	11	3	0	1
CDS:b0026:ileS:isoleucyl-tRNA_synthetase:cds24:+:2816:NC_000913.3	5121	2579	4185	4825	2382	4081	6690	9497	7320	5781	5224	5038	6655	3145	5104	4111	5464	3362	5929	8490	7528	5913	2384	4184	2791	4322	9184	1642	1882	4005	4536	2872	2651	5770	3689	3942
AS_CDS:b0026:ileS:isoleucyl-tRNA_synthetase:cds24:+:2816:NC_000913.3	16	17	33	4	5	36	26	59	61	56	14	22	49	16	14	18	28	21	38	20	23	12	11	20	22	7	62	5	21	18	22	8	17	34	25	4
CDS:b0027:lspA:prolipoprotein_signal_peptidase_signal_peptidase_II:cds25:+:494:NC_000913.3	1759	889	1322	1299	762	1240	2236	3344	2524	1756	1634	1541	2678	1091	1439	1256	1963	1205	2576	2703	2463	1810	707	1290	869	1452	2367	584	473	1125	1658	891	798	1740	1060	1076
AS_CDS:b0027:lspA:prolipoprotein_signal_peptidase_signal_peptidase_II:cds25:+:494:NC_000913.3	7	10	7	13	3	8	32	35	52	21	15	7	9	9	22	13	28	23	17	7	21	8	7	5	18	20	50	8	7	24	29	19	7	16	12	12
IGR:(CDS,b0027,lspA,prolipoprotein_signal_peptidase_signal_peptidase_II,cds25,+,494/CDS,b0028,fkpB,FKBP-type_peptidyl-prolyl_cis-trans_isomerase_rotamase,cds26,+,449):+:73:NC_000913.3	396	170	281	321	295	492	446	671	508	390	433	395	526	262	289	321	619	455	569	538	509	372	266	379	169	343	581	215	224	360	416	233	246	436	285	273
AS_IGR:(CDS,b0027,lspA,prolipoprotein_signal_peptidase_signal_peptidase_II,cds25,+,494/CDS,b0028,fkpB,FKBP-type_peptidyl-prolyl_cis-trans_isomerase_rotamase,cds26,+,449):+:73:NC_000913.3	0	1	0	3	3	1	2	8	12	6	7	3	0	0	2	2	1	5	2	0	4	8	0	2	4	0	8	5	5	6	0	4	2	6	1	3
